HGNC symbol	Chromosome Name	Gene Start (bp)	Gene End (bp)
SCARNA8	9	19063656	19063786
RNU6-1109P	3	190165417	190165523
MIR6506	CHR_HSCHR16_1_CTG1	15696186	15696251
RNU6-11P	7	123790605	123790711
RNU6-58P	13	23217432	23217534
COX11	17	54951902	54968785
RNA5SP508	X	76655009	76655127
SNORA11C	X	47388649	47388777
RN7SL786P	11	75742129	75742426
RNU2-29P	7	53776136	53776324
SNORD1A	17	76561634	76561705
MIR3194	20	51452905	51452977
MIR3135B	CHR_HSCHR6_MHC_MCF_CTG1	32783688	32783755
MIR6848	8	144317246	144317315
SNORA43	9	136726105	136726234
RNU6-561P	2	79636862	79636963
RNA5SP265	8	55745232	55745342
RNU6-611P	19	45047458	45047561
MIR6080	17	64780759	64780824
SNORA55	1	39567374	39567508
MIR3157	10	96064315	96064399
SNORA2B	12	48667457	48667593
RN7SL123P	9	6661651	6661942
MIR6895	X	53195411	53195488
MIR6750	11	64898363	64898437
MIR512-1	19	53666673	53666770
MIR548AZ	8	119325171	119325265
MIR6885	19	6389638	6389703
MIR6769A	16	4671318	4671390
RNA5SP228	7	24132705	24132837
RNA5SP325	10	106970021	106970150
MIR3179-3	16	18411894	18411977
RNU6-758P	16	75286712	75286800
RNU6-1148P	5	138069355	138069458
SSR1P1	6	150384307	150385120
RNA5SP434	17	4056756	4056876
MRGPRD	11	68980021	68980986
RNU1-54P	6	39620345	39620464
SNORD109A	15	25041974	25042040
RNU6-289P	4	111331412	111331518
RN7SKP260	2	206260066	206260214
RNU6-1318P	1	100000637	100000739
MIR3180-4	16	15154850	15155002
MIR6772	16	57772289	57772352
MIR4710	14	104677694	104677749
RNA5SP185	5	56260333	56260446
MIR6778	17	18340814	18340886
TRAPPC12	2	3379675	3485094
RNU1-97P	Y	23740942	23741105
RNA5SP238	7	114613787	114613906
MIR4650-2	7	72697903	72697978
SNORD49B	17	16439505	16439576
RNU1-142P	X	26790142	26790286
RNU6-1024P	3	15433110	15433216
RN7SKP214	22	37055033	37055347
MIR1257	CHR_HSCHR20_1_CTG2	61950422	61950538
RNU6-70P	13	27343687	27343746
RN7SL492P	4	56794348	56794642
MIR4506	14	93948226	93948302
MIR3936	5	132365490	132365599
RNA5SP349	11	109120878	109120986
MIR4527	18	47380496	47380565
RN7SL807P	2	223248498	223248794
RN7SL818P	Y	24210958	24211216
RNA5SP119	2	211535653	211535769
RNU4-35P	6	121453981	121454121
RN7SL546P	14	102582888	102583177
RNU6-383P	X	150955494	150955587
RNA5SP129	3	37341649	37341766
RNU6-836P	4	41084607	41084713
NBPF26	1	120805418	120841481
RNU4-63P	2	41871271	41871388
MIR3653	22	29333158	29333267
RNU6-1111P	15	89886485	89886591
MARCH3	5	126867714	127030808
RNA5SP96	2	69181897	69182003
TNK1	17	7380534	7389774
SCARNA21	17	7906122	7906260
MIR8069-2	21	13724189	13724274
GOLGA8J	CHR_HSCHR15_4_CTG8	30233872	30247618
MIR7111	6	35470508	35470579
MIR4504	14	50299850	50299962
MIR4431	2	52702522	52702615
MIR4801	4	37241910	37241991
RN7SL479P	1	44117098	44117397
RN7SL416P	7	100530362	100530659
FAM98A	2	33583658	33599382
RN7SL7P	7	92971002	92971299
MIR4799	4	147782595	147782668
MIR4693	11	103849906	103849980
RN7SL22P	9	35671776	35672044
TSPY7P	Y	9378122	9380871
MIR4271	3	49274120	49274186
LENG1	CHR_HSCHR19LRC_PGF2_CTG3_1	54156127	54160192
RNU6-197P	4	56288485	56288584
B3GNT8	19	41425359	41428730
MIR6514	11	62792702	62792771
RNU7-61P	16	30483135	30483195
RNU6-1198P	7	73507208	73507274
RNU6-1055P	4	186501109	186501215
RN7SL197P	20	49721949	49722247
MIR4679-1	10	89063335	89063411
MIR4679-2	10	89063335	89063411
NOTO	2	73202258	73212513
MIR6731	1	24919345	24919416
RNA5SP296	9	127841112	127841222
MIR4435-2	2	111321012	111321091
RN7SKP165	1	226445937	226446292
MIR3140	4	152489327	152489416
TANGO6	16	68843604	69085180
RNU2-36P	9	86422938	86423128
AKAP17A	X	1591593	1602514
MIR4419A	1	23057858	23057934
RNU6-183P	5	78314916	78315025
RNU6-498P	15	20738679	20738785
RNU6-616P	X	134918310	134918416
RNU4-26P	9	20418321	20418427
STPG2-AS1	4	97366926	97490164
RN7SL50P	18	8471831	8472128
RNU7-174P	8	80560567	80560625
FBXO40	3	121593119	121630295
APELA	4	164877004	164898965
RN7SL869P	7	80245926	80246225
SNORA36A	X	154768528	154768659
TMEM125	1	43269994	43274002
MIR5706	5	119154637	119154716
SOCS5	2	46698952	46763129
MIR3686	8	129484057	129484142
MIR6508	21	39447010	39447069
RNU6-221P	2	55456106	55456204
RNU1-119P	15	44884616	44884780
RNA5SP182	5	51886688	51886769
DEFB128	20	187853	189681
PLCB2-AS1	15	40300670	40301820
MIR6721	CHR_HSCHR6_MHC_MANN_CTG1	32209418	32209504
TIMM10	11	57528463	57530803
MIR941-3	20	63919756	63919827
MIR941-4	20	63919756	63919827
CEP83-AS1	12	94460003	94462484
TRIM39	CHR_HSCHR6_MHC_COX_CTG1	30316275	30336658
MIR606	10	75552458	75552553
RN7SL435P	11	59291052	59291333
RN7SL810P	13	77947497	77947772
MIR4300	11	81890741	81890836
MIR330	19	45638994	45639087
MIR3689C	9	134849298	134849369
KIR2DL2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54724466	54769230
MIR8057	18	26591467	26591535
RNA5SP235	7	83017898	83018011
MIR3621	9	137169186	137169270
MIR6820	22	37967563	37967624
IGLV3-22	22	22704265	22704822
MIR3910-1	9	91636251	91636361
RNU6-169P	2	195514036	195514142
VTRNA1-3	5	140726158	140726246
RNU6-755P	1	164980035	164980137
SNORD115-6	15	25180497	25180578
MIR365A	16	14309270	14309380
RNA5SP22	1	78094807	78094915
MIR3171	14	27633205	27633278
RPS17	CHR_HSCHR15_5_CTG8	82615842	82619653
RN7SL594P	20	25654595	25654881
RN7SL220P	10	68007718	68008017
IFNA13	9	21367424	21368962
SNORA7B	3	129397210	129397348
RNU6-400P	12	33576095	33576200
RNU6-1042P	1	150701866	150701972
SNORA60	20	38449370	38449503
RN7SKP73	5	5126046	5126337
VWA7	CHR_HSCHR6_MHC_MCF_CTG1	31841886	31853590
RNU6-40P	1	31497577	31497683
RN7SL700P	13	47458941	47459234
MIR5685	6	53276993	53277071
KRTAP20-2	21	30635236	30635619
RNU6-623P	17	60662333	60662437
PRDM9	5	23443586	23528597
MIR381	14	101045898	101046005
PSMG4	6	3231403	3303373
MIR3907	7	151433489	151433639
RNA5SP449	18	9844717	9844846
MIR216B	2	56000714	56000795
DHX16	CHR_HSCHR6_MHC_APD_CTG1	30723385	30736950
CCDC175	14	59504539	59576831
SNORA44	1	28580381	28580512
RNU1-132P	1	245133927	245134090
MIR2276	13	24162416	24162504
MIR4538	14	105858165	105858242
MIR648	22	17980868	17980961
MIR6870	20	10649636	10649695
RNU6-1222P	6	148278672	148278778
DEFB129	20	227258	229886
KCMF1	2	84971093	85059472
RNU4-4P	3	172796429	172796558
RN7SKP208	2	55951654	55952014
RN7SKP232	5	151704289	151704578
MIR219A1	CHR_HSCHR6_MHC_MANN_CTG1	33361719	33361828
NPY6R	5	137801193	137810751
LINC00851	20	18379049	18381484
RNU4-17P	18	60163567	60163707
RN7SKP276	1	229410500	229410767
RNA5S7	1	228623667	228623785
RNU6-314P	17	16098704	16098807
LINC01006	7	156472196	156640654
BANF1P1	14	68936602	68936864
DGCR14	22	19130279	19144684
RNA5SP181	5	36485343	36485440
RN7SKP297	11	74685224	74685505
MIR3126	2	69103682	69103755
RN7SL775P	17	17178414	17178749
RNA5SP464	19	11996809	11996916
MIR516B1	19	53736840	53736949
RNU6-217P	3	77811741	77811844
MIR4303	12	97995383	97995448
RN7SL711P	5	123070782	123071080
RN7SL361P	2	60640705	60641002
MIR20A	13	91351065	91351135
RNU6-472P	12	33923374	33923480
MIR548O	7	102405742	102405855
MIR6721	CHR_HSCHR6_MHC_SSTO_CTG1	32177702	32177788
RN7SL688P	11	118931216	118931490
NLRP7	CHR_HSCHR19LRC_LRC_I_CTG3_1	54929128	54953124
PRKCE	2	45651345	46187990
RNA5SP183	5	55777469	55777587
PTTG3P	8	66767400	66768005
RNU6-665P	8	47667771	47667877
MIR3163	11	66934434	66934506
RN7SL3	14	49853703	49853772
MIR7847	11	1880045	1880147
RNA5SP237	7	111953653	111953765
MIR8061	CHR_HSCHR19LRC_COX1_CTG3_1	54577328	54577402
RNU6-977P	12	83021890	83021992
NEU1	CHR_HSCHR6_MHC_MANN_CTG1	31897282	31902529
IFITM10	11	1732410	1750591
ACKR2	3	42804752	42887974
RNA5SP93	2	56235217	56235330
DPPA5	6	73353062	73354295
MIR3685	12	95309923	95309984
MIR4429	2	11540605	11540677
MIR6499	5	151522087	151522148
RNU6-596P	8	57289552	57289649
TRGC1	7	38257879	38265678
RNA5SP470	19	29001670	29001775
RN7SL168P	22	19365766	19366044
PIP	7	143132077	143139746
ABCC6P2	16	14820792	14824702
CBX1P2	X	17099782	17100239
SNORD18C	15	66501250	66501318
MIR3180-5	16	2135977	2136129
RNA5SP41	1	13623184	13623284
C8orf44-SGK3	8	66667596	66860472
RNU6-216P	11	74968189	74968292
RNU6-724P	5	69530613	69530717
RNU7-164P	X	40535502	40535563
RNU6-966P	15	44973558	44973661
LINGO1-AS2	15	77660052	77668074
FANCD2OS	3	10081317	10108231
RN7SL822P	4	55215624	55215919
RN7SKP77	9	106679977	106680329
RNU6-1161P	22	45624531	45624632
SNORD23	19	47755853	47755962
RN7SL508P	12	118993857	118994159
RN7SL833P	19	11516047	11516330
MIR3919	3	159282646	159282734
MIR539	14	101047313	101047416
RNA5SP292	9	106843749	106843866
RNU1-22P	16	3086143	3086300
MIR4786	2	239943015	239943094
RN7SKP102	2	123869256	123869570
RNU5B-1	15	65304677	65304792
PLK3	1	44800225	44805990
MIR4770	X	6383906	6383963
MIR186	1	71067631	71067716
ZNF670	1	247036784	247078755
RNU6-1218P	8	30043801	30043908
SNORA26	4	52713249	52713370
RN7SL43P	7	66980120	66980410
RNA5SP82	1	247204570	247204661
RPL15	3	23916545	23923692
MIR3115	1	23044305	23044372
RN7SL201P	2	81967079	81967374
MIR6721	CHR_HSCHR6_MHC_APD_CTG1	32237039	32237125
NSMCE4A	10	121957088	121975217
RNU6-173P	4	188121531	188121634
SNORD115-4	15	25176832	25176913
LYRM9	17	27878314	27894752
RN7SKP13	4	181834865	181835108
HCG27	CHR_HSCHR6_MHC_SSTO_CTG1	31192649	31198853
NDUFS5P3	1	52709122	52709442
MIR3656	11	119018944	119019012
MIR27A	19	13836440	13836517
RNU6-199P	12	51162901	51163007
GP6	CHR_HSCHR19LRC_PGF2_CTG3_1	54751499	54776058
MIR6746	11	61878216	61878278
ARHGAP42	11	100687653	100991937
RNU6-489P	17	37907957	37908063
ZNF718	4	124480	163989
RN7SL580P	6	51975673	51975959
MIR1283-1	19	53688481	53688567
SNORD52	6	31837076	31837142
RNU6-311P	11	78579255	78579356
SNORD115-42	15	25247345	25247426
MIR4646	CHR_HSCHR6_MHC_QBL_CTG1	31691270	31691332
RN7SL521P	7	149125690	149125986
MIR6513	2	218280125	218280188
MIR29C	1	207801845	207801956
RNU6-168P	5	163796065	163796165
RNU6-1280P	15	85651522	85651628
RNU6ATAC17P	20	25611153	25611223
RNU6-588P	5	149606637	149606741
MIR1302-11	19	71973	72110
RNU6-518P	17	58835899	58835994
TCEA1	8	53966552	54022529
OXCT1-AS1	5	41870030	41872241
RNU6-822P	3	20268965	20269070
TAS2R50	CHR_HSCHR12_3_CTG2	10985900	10986899
HMGN1P3	14	68887785	68888084
RN7SL163P	21	17506453	17506728
RNU6-1112P	4	40077884	40077982
RNU6-635P	4	103924540	103924641
BTBD9-AS1	6	38481692	38482531
RNU6-146P	X	3607258	3607365
MIR3929	18	35934088	35934142
OSCAR	CHR_HSCHR19LRC_COX2_CTG3_1	54094681	54102740
CRISP3	6	49727384	49744437
MIR4279	5	31936102	31936159
RNA5SP346	11	96474572	96474692
MIR6832	CHR_HSCHR6_MHC_MCF_CTG1	31710074	31710145
RNA5SP303	10	19633683	19633812
COG5	7	107201555	107564514
RNA5SP453	18	32176050	32176168
RNU6-402P	5	98889731	98889833
RN7SKP233	16	76287630	76287739
RNU1-140P	5	104098874	104099038
MIR4479	9	136886733	136886803
RNU6-201P	22	31837238	31837298
RNU6-656P	8	46831050	46831156
RNU4-76P	6	121542486	121542626
RNU6-57P	13	41354557	41354659
SNORD116-24	15	25094037	25094128
RNU6ATAC20P	18	22130603	22130729
RNA5SP86	2	20401627	20401724
HPX	11	6431049	6442617
RNU6-1143P	11	3714772	3714875
OR52E1	11	5069572	5070461
MIR6501	21	33550662	33550728
RN7SL286P	15	32602121	32602411
LINC01285	X	118839554	118919669
CCDC54	3	107377194	107378637
RN7SL745P	18	23004564	23004862
RNU6ATAC38P	20	45778698	45778823
RNU6-105P	2	71379755	71379858
RNU7-11P	4	39621012	39621073
RNA5SP324	10	96619376	96619483
HNRNPA1P2	CHR_HSCHR6_MHC_APD_CTG1	32392216	32393175
LENG1	CHR_HSCHR19LRC_COX2_CTG3_1	54156127	54160192
SNORD116-2	15	25054210	25054304
RNU6-1270P	3	73241789	73241896
FRMPD3	X	107522450	107605251
RNA5SP274	8	93441277	93441384
RNU6-1327P	9	558826	558930
KRTAP4-4	17	41159651	41160731
RNU6-859P	21	43919795	43919901
SNORA36B	1	220200546	220200676
MTND3P3	4	155456638	155456981
RNU6-1067P	10	28667919	28668025
ADAM9	CHR_HSCHR8_9_CTG1	39101863	39105144
RNU6-866P	17	38755279	38755400
VN1R66P	16	31648307	31649222
RNA5SP492	21	42221173	42221286
MIR377	14	101062024	101062132
MIR6787	17	82236668	82236728
TRGVA	7	38322446	38322730
RNU4ATAC9P	4	72965178	72965303
DKKL1	19	49361783	49375116
MIR548G	4	147344629	147344717
RNA5SP148	3	178429197	178429290
SNORA13	5	112161485	112161617
MIR1238	19	10552122	10552204
RNU7-22P	10	32173684	32173744
CT47A5	X	120958165	120966348
OTOP1	4	4188803	4226889
TRGV2	7	38362864	38363518
MIR519B	19	53695213	53695293
WDR97	8	144107726	144118315
MIR4509-3	CHR_HSCHR15_4_CTG8	28632262	28632355
RNU6-27P	20	17187510	17187616
OR2H1	CHR_HSCHR6_MHC_COX_CTG1	29453753	29460899
OR2AG2	11	6767987	6769055
RNU6-1086P	8	27679836	27679935
MIR3972	1	17277889	17277975
RNA5SP299	10	8656716	8656831
RN7SKP70	5	178619728	178619998
MIR3155A	10	6152196	6152277
RNF213	17	80260866	80398786
RNU6-20P	16	57830536	57830642
RNU6-1290P	2	175029769	175029877
MIR920	12	24212421	24212495
RNU6-964P	2	229937814	229937882
RN7SL359P	2	232649849	232650136
MIR6800	19	49832018	49832099
MIR4486	11	19575310	19575372
ARL2BPP10	22	18102457	18103649
MIR6833	CHR_HSCHR6_MHC_SSTO_CTG1	32187488	32187548
RNU6-521P	Y	7423054	7423158
MIR940	16	2271737	2271846
ATP10B	5	160563120	160852214
MIR208B	14	23417987	23418063
LILRP2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54707916	54713453
FGF17	8	22042398	22048809
VSTM1	CHR_HSCHR19LRC_LRC_I_CTG3_1	54040833	54063953
MIR764	X	114639435	114639519
MIR6721	CHR_HSCHR6_MHC_MCF_CTG1	32246458	32246544
RN7SL638P	20	18592330	18592619
PRSS1	CHR_HSCHR7_2_CTG6	142790185	142793793
RN7SKP265	3	181968459	181968681
RN7SL1	14	49586580	49586878
RN7SKP240	6	22085544	22085918
SNORD114-21	14	100981975	100982046
AOX2P	2	200695917	200794239
RNU1-11P	6	13214056	13214219
RNA5SP103	2	128445081	128445198
MIR6751	11	65129916	65129978
NUP153	6	17615035	17706834
MIR4512	15	66496958	66497034
MIR3683	7	7066964	7067045
SERPINA10	CHR_HSCHR14_7_CTG1	94280460	94293271
RNU1-3	1	16666785	16666948
TCEB1P26	Y	18178932	18179260
PRYP5	Y	18529358	18529623
RNU7-151P	4	102837047	102837099
MIR6505	12	48132797	48132867
FTMT	5	121851955	121852833
MYDGF	19	4641374	4670370
KIF3C	2	25926596	25982749
RNU6-1084P	8	11392411	11392517
TGM2	20	38127387	38166578
RNU6-927P	12	124901512	124901611
SNORD95	5	181243312	181243379
ZNF337	20	25674215	25696841
TCEB1P7	Y	18532326	18532656
MIR3131	2	219058688	219058750
RNU6-787P	3	66293114	66293220
RNA5SP320	10	73706490	73706613
MIR4268	2	219906502	219906565
GNG5P1	CHR_HSCHR6_1_CTG9	166240290	166240493
MIR3118-3	15	21406385	21406459
RNA5SP244	7	129756266	129756377
RNA5SP415	16	35750061	35750175
RNY3P7	13	77623372	77623472
ZNF714	19	21082159	21125270
LINC01597	20	30278906	30288479
RNU5A-6P	18	24124170	24124285
RNA5SP231	7	68723911	68724048
LAP3P1	6	82924829	82925122
MIR23C	X	20017081	20017191
MIR3655	5	140647844	140647926
RN7SL633P	22	31059989	31060285
RN7SL58P	5	18547312	18547605
SNORA38	CHR_HSCHR6_MHC_DBB_CTG1	31605253	31605384
MIR8088	X	52336557	52336642
RNU12-2P	X	47132671	47132826
RNU6-528P	8	33338867	33338966
RNU2-4P	17	43387226	43387417
MIR4734	17	38702262	38702331
RNU1-131P	20	17209060	17209220
IGHV3-33-2	CHR_HSCHR14_3_CTG1	106393788	106394227
RN7SL737P	12	93509487	93509768
DAXX	CHR_HSCHR6_MHC_QBL_CTG1	33247394	33258105
OR7E117P	11	3599595	3600706
RNA5SP51	1	85883680	85883798
TRGC2	7	38239580	38368091
TFPT	CHR_HSCHR19LRC_COX2_CTG3_1	54107066	54115801
MIR4474	9	20502265	20502342
AP5Z1	7	4775622	4794312
MIR423	17	30117079	30117172
RNF103-CHMP3	2	86505668	86721122
RNU6-778P	1	199888159	199888261
AQP2	12	49950741	49958881
ZFP69B	1	40450102	40463718
MBNL1-AS1	3	152262616	152269555
AWAT1	X	70234655	70240627
RNU7-163P	3	163470205	163470266
RNU6-951P	2	38147415	38147521
MIR944	3	189829922	189830009
PARP15	3	122577602	122639047
RN7SL541P	5	134517810	134518092
CELF2-AS1	10	11316834	11319884
PAICSP6	7	143782667	143784284
RNU6-1284P	3	136430084	136430183
KIAA1147	CHR_HSCHR7_1_CTG6	141656728	141702156
PTPRD-AS1	9	8858130	8862255
GAL3ST4	7	100159244	100168750
RNU6-192P	20	17903762	17903861
TREML1	6	41149342	41154337
PUDPP2	1	152124016	152196699
RNA5SP430	16	75861048	75861157
GSTA7P	6	52739590	52744656
RNY4P13	17	30059052	30059147
HNF1B	17	37686432	37745247
MIR450A2	X	134540495	134540605
SCARNA7	3	160514907	160515236
MIR30C2	6	71376933	71377045
RNU5A-1	15	65296051	65296166
MIR559	2	47377675	47377770
RN7SL290P	1	51995740	51996039
RN7SL727P	X	140085855	140086150
RN7SL44P	1	153500463	153500764
RNU6-1009P	12	64204793	64204899
SNORD114-15	14	100972670	100972741
CHRNA3	15	78593052	78621295
RN7SL735P	17	66364029	66364320
RNU6-1192P	17	36404826	36404932
RNA5SP417	16	35751828	35751935
MIR548AE2	5	58530043	58530109
RNA5SP213	6	114220681	114220786
MIR8055	8	6622124	6622220
MIR1976	1	26554542	26554593
RPEP6	11	72131282	72131907
MIR548Q	10	12725254	12725353
RNU6-1320P	2	94846533	94846639
RNU6-262P	11	119289562	119289677
TARM1	CHR_HSCHR19LRC_COX2_CTG3_1	54069947	54081380
RN7SKP213	2	219590687	219590984
RNU5F-7P	X	15916189	15916303
RNU6-133P	X	21214637	21214743
RNU6-653P	6	109059509	109059614
RN7SKP8	13	98203835	98204192
COX8A	11	63974607	63976543
VCY1B	Y	14056217	14056958
SNORD92	2	28913664	28913748
RNU6-847P	10	34926775	34926882
SNORA31	13	45337480	45337609
RNA5SP437	17	31963805	31963933
RN7SL145P	3	45742675	45742970
MIR5586	14	59646962	59647020
RNU6-679P	5	12297399	12297504
BTG3P1	X	128122734	128123496
LINC01225	1	31500085	31540885
MIR4675	10	20551970	20552046
RNU2-28P	3	81509476	81509664
MIR4771-2	2	111771061	111771134
SNORD116-21	15	25088804	25088895
RNU6-871P	12	59450673	59450772
PIANP	12	6693792	6700800
MOAP1	14	93182196	93184928
RNU6-222P	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54868939	54869045
RNA5SP416	16	35751574	35751684
RNU5B-2P	3	40498891	40499003
RNU6-481P	1	161401289	161401395
RNU6-86P	9	87998229	87998335
SNORD124	17	40027542	40027645
MIR5704	3	131985855	131985931
RNU6-488P	3	93843764	93843862
NBAS	2	15166909	15561330
RNU2-54P	8	76265543	76265732
RN7SKP236	21	25101132	25101415
UBE3D	6	82892398	83065841
RNU2-18P	10	16476003	16476164
SNORD100	6	132816802	132816877
RNU6-1174P	3	134780527	134780627
SNORD72	5	40832656	40832735
RN7SL296P	3	33103008	33103306
MDC1	CHR_HSCHR6_MHC_COX_CTG1	30689666	30707748
MIR548F2	2	212426263	212426360
MIR3198-1	22	17764180	17764259
RN7SL849P	9	12764761	12765055
HLA-B	6	31353872	31357188
RN7SL162P	22	28642979	28643270
RNU6-335P	4	183675603	183675715
RNU6-739P	3	64511755	64511857
RN7SL428P	15	85210053	85210299
RN7SKP45	3	56072104	56072407
RNA5SP197	5	151477459	151477577
RNU6-242P	2	43091388	43091494
RN7SL282P	18	6601540	6601836
MIR543	14	101031963	101032070
SNORD114-30	14	100991919	100991990
RNU6-247P	12	95792529	95792635
RNU6-501P	1	201733406	201733505
RNU6-482P	5	112778363	112778469
VPRBP	3	51395867	51500002
OR9A3P	7	141862860	141863737
RNA5-8S5	KI270733.1	128877	129029
RNU4-59P	1	92700819	92700934
RNA5SP344	11	75934936	75935039
MIR6072	10	2076019	2076089
RNU6-233P	17	39546104	39546244
MIR3159	11	18387787	18387860
MIR548AI	6	99124609	99124696
RN7SKP5	13	46249942	46250213
RNU2-60P	11	111383092	111383219
MIR498	19	53674197	53674320
SNORD45C	1	75787072	75787150
MIR6816	22	20114686	20114751
RN7SL665P	9	130400266	130400565
RNU6-850P	6	31756951	31757053
MIR6890	3	49099854	49099914
MIR4419B	12	128244506	128244573
RPS26P3	9	9090898	9091245
RNU6-1041P	19	53760087	53760188
RNA5SP223	6	152410275	152410394
PVR	19	44643798	44663583
KDM4E	11	95025258	95027596
MIR1263	3	164171471	164171556
RNU6-158P	4	48932755	48932854
MIR1471	2	231892242	231892298
RN7SKP124	3	139584105	139584445
RNU6-279P	12	59369051	59369151
RNU1-125P	16	3069523	3069651
RNU6-153P	6	166209403	166209506
MIR6859-4	16	17052	17119
RNU6-880P	1	42991438	42991544
MIR369	14	101065598	101065667
RNA5SP279	9	1333837	1333953
MIR570	CHR_HSCHR3_7_CTG3	195699401	195699497
RNU6-715P	2	147495438	147495540
RNA5SP413	16	35747032	35747140
MIR7-2	15	88611825	88611934
RN7SL305P	22	31981147	31981427
MIR5572	15	80581103	80581239
RNA5SP68	1	173969318	173969436
DCAF12	9	34086387	34127399
MIR548J	22	26555212	26555323
RN7SL60P	13	98671980	98672278
IYD	6	150368892	150405969
RNA5SP342	11	71845196	71845245
MIR548F4	7	147378017	147378121
LNPEP	5	96935394	97037515
RNU6-1214P	4	139318378	139318486
PUM1	1	30931506	31065991
MIR3137	3	195134506	195134580
LIMS3L	2	110446640	110473075
RNA5SP284	9	63813190	63813307
RNU6-295P	8	48307927	48308030
RNU6-107P	2	232782665	232782766
MIR4662B	8	124821978	124822058
MIR4662A	8	124821978	124822058
RNU6-675P	2	126702839	126702942
MIR6864	17	4969702	4969771
RNU7-38P	10	71844735	71844794
MIR378J	17	37614931	37615039
RNU6-229P	7	69401202	69401303
MIR7974	19	11495544	11495622
RNA5SP505	X	53909054	53909161
MIR3183	CHR_HSCHR17_2_CTG2	1022476	1022559
SRRD	22	26483877	26494658
RN7SL252P	7	96940068	96940364
RNU4-90P	5	91270727	91270867
RNU6-2	19	1021522	1021628
MIR3193	20	31607186	31607240
MIRLET7A3	22	46112732	46112840
CST6	11	66011841	66013505
RNU1-32P	2	60384605	60384763
RRM2P2	1	161378707	161379358
ZBED6	1	203796309	203800558
SNORD102	13	27255064	27255135
RNU6-1073P	9	1001858	1001963
RPL7AP23	3	82319172	82320279
RNU6-593P	11	17115652	17115763
PAQR7	1	25861210	25871253
TMEM14EP	3	152340527	152340904
RNU1-100P	3	142420205	142420369
CNEP1R1	16	50024410	50037088
RN7SL307P	15	49198900	49199194
SNORA37	18	54222284	54222412
ITLN2	1	160945025	160954799
SLC6A20	3	45755450	45796535
MIR4772	2	102432289	102432366
MIR6823	3	48549961	48550021
RN7SL262P	X	49152651	49152944
MIR1287	10	98395218	98395307
MIR196A1	17	48632490	48632559
PCDHB18P	5	141234333	141237529
ZNF582	19	56375846	56393545
MIR3927	9	109511475	109511545
RNA5SP429	16	68742480	68742588
RNU6-287P	17	42891338	42891435
BVES	6	105096822	105137174
RN7SL718P	19	41190927	41191229
RN7SL381P	16	85659378	85659675
RNU7-121P	1	39723566	39723627
SNORD115-10	15	25187536	25187616
MIR3681	2	12199130	12199201
SNORD84	CHR_HSCHR6_MHC_MCF_CTG1	31617447	31617524
RNU6-166P	12	65095749	65095855
RN7SL203P	8	70480192	70480487
RNU6-626P	6	56945730	56945836
RNU2-44P	4	154790291	154790484
LINC00484	9	91159573	91165658
RNU6-685P	2	82268612	82268706
SIAH1	16	48356364	48448402
RN7SKP175	8	143542110	143542398
RN7SL447P	3	193740471	193740715
RNU6-410P	4	55031965	55032071
SNORA38	CHR_HSCHR6_MHC_COX_CTG1	31610483	31610614
CASP4	11	104942866	104969436
MIR29A	7	130876735	130876821
MIR7845	2	207166400	207166498
RNU6-1048P	2	43892690	43892796
MIR3162	11	59595077	59595158
DLG5	10	77790791	77926526
RN7SL582P	3	116582552	116582830
RN7SKP282	Y	7324297	7324595
NLRP7	19	54923509	54966312
RNU6-308P	5	95521369	95521475
RNU6-1001P	2	155089439	155089538
LINC01226	1	31518435	31524245
MIR588	6	126484631	126484713
MIR192	11	64891132	64891243
MIR105-1	X	152392219	152392299
RNU6-484P	5	37700331	37700437
RN7SL285P	6	37832922	37833185
RN7SL228P	8	117017946	117018248
RN7SL670P	2	203259604	203259897
MIR4726	CHR_HSCHR17_7_CTG4	38520478	38520535
